"Rollpix","Rollpix"
"Galería Configurable","Galería Configurable"
"General","General"
"Habilitar Módulo","Habilitar Módulo"
"Habilita o deshabilita el módulo globalmente.","Habilita o deshabilita el módulo globalmente."
"Atributo de Color","Atributo de Color"
"Atributo visual principal para el mapping de imágenes. Generalmente ""color"".","Atributo visual principal para el mapping de imágenes. Generalmente ""color""."
"Mostrar Imágenes Genéricas","Mostrar Imágenes Genéricas"
"Mostrar imágenes sin color asignado junto con las del color seleccionado.","Mostrar imágenes sin color asignado junto con las del color seleccionado."
"Preseleccionar Color","Preseleccionar Color"
"Preseleccionar un color automáticamente al cargar la ficha de producto.","Preseleccionar un color automáticamente al cargar la ficha de producto."
"Deep Link por Color","Deep Link por Color"
"Permite abrir un producto con un color preseleccionado vía URL (#color=318 o ?color=rojo).","Permite abrir un producto con un color preseleccionado vía URL (#color=318 o ?color=rojo)."
"Actualizar URL al Seleccionar","Actualizar URL al Seleccionar"
"Actualizar URL hash al seleccionar un swatch (permite copiar/compartir URL con color).","Actualizar URL hash al seleccionar un swatch (permite copiar/compartir URL con color)."
"Stock","Stock"
"Filtrar por Stock","Filtrar por Stock"
"Filtrar galería por disponibilidad de stock. Los colores sin stock se ocultan o atenúan.","Filtrar galería por disponibilidad de stock. Los colores sin stock se ocultan o atenúan."
"Comportamiento Sin Stock","Comportamiento Sin Stock"
"Qué hacer con las imágenes de colores sin stock.","Qué hacer con las imágenes de colores sin stock."
"Ocultar imágenes","Ocultar imágenes"
"Mostrar con opacidad reducida","Mostrar con opacidad reducida"
"Propagación","Propagación"
"Modo de Propagación","Modo de Propagación"
"Cómo propagar imágenes del configurable a los simples. ""Desactivada"" = imágenes solo en el padre.","Cómo propagar imágenes del configurable a los simples. ""Desactivada"" = imágenes solo en el padre."
"Desactivada","Desactivada"
"Automática (al guardar)","Automática (al guardar)"
"Manual (solo CLI)","Manual (solo CLI)"
"Roles a Propagar","Roles a Propagar"
"Qué roles de imagen propagar a los simples.","Qué roles de imagen propagar a los simples."
"Imagen Base (image)","Imagen Base (image)"
"Imagen Pequeña (small_image)","Imagen Pequeña (small_image)"
"Thumbnail (thumbnail)","Thumbnail (thumbnail)"
"Imagen de Swatch (swatch_image)","Imagen de Swatch (swatch_image)"
"Limpiar Antes de Propagar","Limpiar Antes de Propagar"
"Limpiar imágenes propagadas anteriormente antes de re-propagar.","Limpiar imágenes propagadas anteriormente antes de re-propagar."
"Carrito / Checkout","Carrito / Checkout"
"Imagen por Color en Carrito","Imagen por Color en Carrito"
"Mostrar la imagen del color seleccionado en carrito y checkout (solo cuando propagación está desactivada).","Mostrar la imagen del color seleccionado en carrito y checkout (solo cuando propagación está desactivada)."
"Avanzado","Avanzado"
"Modo Debug","Modo Debug"
"Log detallado en var/log/rollpix_gallery.log. Solo para desarrollo.","Log detallado en var/log/rollpix_gallery.log. Solo para desarrollo."
"Adaptador de Galería","Adaptador de Galería"
"Override manual del adaptador. ""Auto"" detecta automáticamente la galería activa.","Override manual del adaptador. ""Auto"" detecta automáticamente la galería activa."
"Auto (detección automática)","Auto (detección automática)"
"Fotorama (nativa Magento)","Fotorama (nativa Magento)"
"Rollpix ProductGallery","Rollpix ProductGallery"
"Amasty Color Swatches Pro","Amasty Color Swatches Pro"
"Sin asignar (todos los colores)","Sin asignar (todos los colores)"
"Color asignado:","Color asignado:"
"Rollpix Gallery Habilitada","Rollpix Gallery Habilitada"
"Habilita el filtro de galería por color para este producto configurable.","Habilita el filtro de galería por color para este producto configurable."
"Color Default de Galería","Color Default de Galería"
"Option ID del color a preseleccionar. Dejar vacío para auto-detección (primer color con stock).","Option ID del color a preseleccionar. Dejar vacío para auto-detección (primer color con stock)."
"Rollpix - Galería Configurable","Rollpix - Galería Configurable"
